2016-01-20 15:35:06 Debug: Notice (8): Undefined index: id in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\cake\libs\model\model.php, line 1340]
2016-01-20 15:49:32 Debug: Notice (8): Undefined property: AlunosController::$request in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\controllers\alunos_controller.php, line 108]
2016-01-20 15:49:32 Debug: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\controllers\alunos_controller.php, line 108]
2016-01-20 15:49:32 Debug: Notice (8): Undefined property: AlunosController::$request in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\controllers\alunos_controller.php, line 112]
2016-01-20 15:50:00 Debug: Notice (8): Undefined property: AlunosController::$request in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\controllers\alunos_controller.php, line 112]
2016-01-20 15:50:28 Debug: Notice (8): Undefined property: AlunosController::$User in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\controllers\alunos_controller.php, line 127]
2016-01-20 16:01:01 Debug: Notice (8): Undefined index: id in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\cake\libs\model\model.php, line 1340]
2016-01-20 17:59:17 Debug: Notice (8): Undefined variable: periodosDisponiveis in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\views\cursos\editar.ctp, line 38]
2016-01-20 17:59:18 Debug: Notice (8): Undefined variable: periodosDisponiveis in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\views\cursos\editar.ctp, line 38]
2016-01-20 17:59:19 Debug: Notice (8): Undefined variable: periodosDisponiveis in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\views\cursos\editar.ctp, line 38]
2016-01-20 21:31:45 Debug: Notice (8): Undefined variable: formatacao in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\controllers\alunos_controller.php, line 28]
2016-01-20 21:32:30 Debug: Notice (8): Undefined variable: formatacao in [C:\Program Files (x86)\EasyPHP-12.1\www\portabilis\app\controllers\alunos_controller.php, line 28]
